Group,Death/Prevalence,GBD Columns1,GBD Columns,Lancet groups,GBD 2017 Codes,Weight_palliative_care_need,Prop_need_opioid,Days_opioid,Morphine,Notes
12,Death,"c(""Chronic respiratory diseases"")",Chronic respiratory diseases,,"J40-47; J60-70; J80-84; J95-99: Chroniclower respiratory dz; lung dz due toexternal agents; interstitial lung dz;other dz of resp system",0.8,0.25,120,360,
13,Death,"c(""Cirrhosis and other chronic liver diseases"")",Cirrhosis and other chronic liver diseases,,K70-77: Diseases of liver,0.95,0.65,90,180,
,Death,"c(""Other digestive diseases"",""Schistosomiasis"")",Other digestive diseases,,K70-77: Diseases of liver,0.28,0.65,90,180,
14,Death,"c(""Chronic kidney disease"")",Chronic kidney disease,,N17-19: Renal failure,0.45,0.4,30,180,
15,Death,"c(""Neonatal preterm birth"" )",Neonatal preterm birth,,"P07; P10-15: Low birth weight &prematurity; Birth trauma",1,0.5,15,0,
16,Death,"c(""Congenital birth defects"")",Congenital birth defects,,Q00-99: Congenital malformations,0.6,0.5,30,24,
16a,Prevalence,"c(""Congenital birth defects"")",Congenital birth defects,,Q00-99: Congenital malformations - nondecedents,0.6,0.25,60,0,
17,Prevalence,"c(""Injuries"")",Injuries,,"S00-99; T00-98; V01-Y98: Injury,poisoning, external causes",0.6,0.8,15,300,
17,Death,"c(""Injuries"")",Injuries,,"S00-99; T00-98; V01-Y98: Injury,poisoning, external causes",0.3,0.8,15,300,
18,NULL,NULL,NULL,,I70: Athrosclerosis,0.35,0.67,120,180,
19,Prevalence,"c(""Musculoskeletal disorders"")",Musculoskeletal disorders,,M00-97: Musculoskeletal disorders,1,0.7,360,360,
,Death,"c(""Musculoskeletal disorders"")",Musculoskeletal disorders,,M00-97: Musculoskeletal disorders,0.7,0.7,360,360,
20,Death,"c(""Protein-energy malnutrition"")",Protein-energy malnutrition,,E40-46: Malnutrition,1,0.2,5,2,
,,,,,Source,Section 1.1.3,Table 1F,Table 1F,Table 2B,
