"","location_name","year_id","age_group_name","sex","cause_name","acause","measure_name","metric_name","val","upper","lower"
"60","Baja California Sur",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"61","Baja California Sur",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"62","Baja California Sur",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.00438533893999369,0.00551652350077057,0.00348518485861282
"63","Baja California Sur",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",29.6624861760593,37.3427182145022,22.7909684897152
"64","Baja California Sur",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",22.1956549863522,24.545923493741,20.245584747751
"65","Baja California Sur",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",1.51081164306925,3.41034288697744,0.542005217817319
"66","Baja California Sur",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",563.547213223732,596.986084294218,528.097963936414
"67","Baja California Sur",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",779.121060242801,821.644108140008,733.938436087497
"68","Baja California Sur",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",118.378707420826,127.519332684913,109.845887680636
"69","Baja California Sur",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",5.90887083978055,6.64538139368742,5.25058643441155
"70","Baja California Sur",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",143.635163618597,157.305679970868,131.051221272927
"71","Baja California Sur",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",12.8450038321607,14.2556234433673,11.4770259917819
"72","Baja California Sur",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",131.70233311188,139.805400341744,124.330607293807
"73","Baja California Sur",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",20.3803444829345,22.8444399735403,18.5602780896777
"74","Baja California Sur",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",8.12376277675848,9.568664610775,7.33185122794191
"75","Baja California Sur",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",1.22641889059177,1.38169945236508,0.909857464884097
"76","Baja California Sur",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",8.01779898475706,8.88022926370415,7.22860393148901
"77","Baja California Sur",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",0.367891700981715,0.43758870788261,0.310926430786704
"78","Baja California Sur",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",248.310448081453,267.466658304583,230.366235934818
"79","Baja California Sur",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",19.3963616811348,21.4303990595084,17.4987931643753
"80","Baja California Sur",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",46.2085622274812,57.6872682613155,32.6617602708302
"81","Baja California Sur",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",513.239748756982,539.492437889891,486.151528152861
"82","Campeche",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",19.4177100222988,21.6169577196985,17.2638491361322
"83","Campeche",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",60.6844566428957,63.6426798825,57.994885908325
"84","Campeche",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",8.26065088790006,9.43037965991944,6.52906659183146
"85","Campeche",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.26732686184402,0.347414845224895,0.199528946412934
"86","Campeche",2017,"All Ages","Both","Measles","measles","Deaths","Number",2.94446368868284e-06,1.61431996462681e-05,0
"87","Campeche",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"88","Campeche",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"89","Campeche",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.000428421360738526,0.000508160838539953,0.000359081382718443
"90","Campeche",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",45.1788957442694,58.290794222398,35.463830623563
"91","Campeche",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",46.9220692462112,53.4995859041666,38.0870616825231
"92","Campeche",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",2.61487264832644,5.86229986841653,0.858675875667273
"93","Campeche",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",724.365491910014,771.139994288755,681.76031447736
"94","Campeche",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",1174.53089944435,1241.74906075205,1109.95913884189
"95","Campeche",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",242.595671787205,260.890296308177,226.187760236429
"96","Campeche",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",15.717203327693,18.0421259808856,13.7568375821901
"97","Campeche",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",337.412173755923,366.920072193616,309.181648567736
"98","Campeche",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",20.1099492014805,22.6623332801331,18.0180447261443
"99","Campeche",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",219.449229816289,239.022379900043,201.386873745229
"100","Campeche",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",32.9913062201783,37.4351262818067,29.6622495691469
"101","Campeche",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",12.6877005770595,13.9243908949648,11.5200041458783
"102","Campeche",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",1.41960063835904,1.72131287110536,1.20551122988102
"103","Campeche",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",11.144315587924,12.2112749837927,9.94540046672296
"104","Campeche",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",1.10450194118021,1.28324804032774,0.95352966683541
"105","Campeche",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",424.784295211033,455.113392902026,396.251425476421
"106","Campeche",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",19.4195707257161,21.3470938756777,17.5932023557755
"107","Campeche",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",67.6413959947124,84.2427988657526,54.0979442398303
"108","Campeche",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",702.364817762836,741.536403694582,663.994131689753
"109","Coahuila",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",73.96779915023,82.2162603958223,65.5805870881335
"110","Coahuila",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",102.155721843302,107.336715453,97.31437347575
"111","Coahuila",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",25.9039722804896,29.3535769248107,18.6840717035887
"112","Coahuila",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.172035695434826,0.584530752798735,0.10842502169746
"113","Coahuila",2017,"All Ages","Both","Measles","measles","Deaths","Number",1.27413060526941e-05,7.12720996532541e-05,0
"114","Coahuila",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"115","Coahuila",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"116","Coahuila",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.00949781745860739,0.0116646102865943,0.00773074078009639
"117","Coahuila",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",221.288502085153,273.075158532257,180.993903461407
"118","Coahuila",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",89.0280279908421,99.3197423882156,79.5749319563614
"119","Coahuila",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",9.2546411497566,21.2582845978003,2.88338036996393
"120","Coahuila",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",2431.32617901835,2577.81798946333,2288.37912991966
"121","Coahuila",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",4224.24465318897,4468.90431060982,3983.70171153977
"122","Coahuila",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",660.770661458247,705.581087482656,617.984755719463
"123","Coahuila",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",24.9591990770374,28.1124061543853,21.9010668678628
"124","Coahuila",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",760.539842312792,826.80147178626,699.811522637006
"125","Coahuila",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",69.2355457904221,76.176566975345,62.6433171508698
"126","Coahuila",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",706.127399605062,750.332824402702,665.928269622625
"127","Coahuila",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",96.9449419754413,112.808146245885,89.5665511616688
"128","Coahuila",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",42.7032119255822,47.4670635740362,39.114731669813
"129","Coahuila",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",6.34989801250652,7.25918843033208,4.54193773106818
"130","Coahuila",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",31.7097709169794,34.7684480126347,28.7244477222395
"131","Coahuila",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",2.02973192106814,2.37069643205171,1.7387956345883
"132","Coahuila",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",1629.31960202473,1748.74410789612,1514.93187109168
"133","Coahuila",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",69.9227931562225,76.5567349566982,63.4412767799963
"134","Coahuila",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",254.418885591058,312.535767075549,196.457293776916
"135","Coahuila",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",2001.92207557583,2099.6518365393,1909.07630333234
"136","Colima",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",18.8813126172228,20.8858142475221,16.8714187205415
"137","Colima",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",64.9120330139845,68.349771691,61.5524485615
"138","Colima",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",4.71704399717277,5.44482288893053,4.00225576057007
"139","Colima",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.161058413929452,0.233285879906863,0.120150693221966
"140","Colima",2017,"All Ages","Both","Measles","measles","Deaths","Number",2.19116772742658e-06,1.2220889905326e-05,0
"141","Colima",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"142","Colima",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"143","Colima",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.000271327436368109,0.000330787964010422,0.000220765953580102
"144","Colima",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",28.6610245691581,35.4540124700897,22.488279869362
"145","Colima",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",37.5531263520756,41.4843671426843,33.0166822354383
"146","Colima",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",2.10246186043794,4.90552882281434,0.672763721133457
"147","Colima",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",634.394753455949,677.718007742148,597.449675067191
"148","Colima",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",936.122763779905,988.903177686249,887.204393566145
"149","Colima",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",207.845717142566,222.30091158171,193.268260535146
"150","Colima",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",10.9476328596223,12.2852084278002,9.76055463642942
"151","Colima",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",220.409032135702,247.144669100637,197.387225354596
"152","Colima",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",16.5985850827214,18.9192567213288,14.6255123973829
"153","Colima",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",194.983325734764,212.532791368893,180.004012115305
"154","Colima",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",29.122822692127,33.0494976247878,26.1850893823696
"155","Colima",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",11.2113263723902,12.442880073772,9.46008893463691
"156","Colima",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",1.30578051806601,1.5704452704065,0.907327763691949
"157","Colima",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",6.69673139459707,7.79025409655014,5.82991301841388
"158","Colima",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",1.68122699679989,1.96248044496256,1.43889293723056
"159","Colima",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",384.720596857024,412.820113961328,354.54415744991
"160","Colima",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",14.8821723970944,16.52688411733,13.1230585930473
"161","Colima",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",50.8066131991481,61.6766903456287,37.0375321891421
"162","Colima",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",618.580036145369,654.199514480422,583.527982048375
"163","Chiapas",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",245.293836707437,280.772432811633,219.571107846854
"164","Chiapas",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",268.646088464178,280.2472730925,257.71380695
"165","Chiapas",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",43.082630539514,50.9959555411366,37.2901576027626
"166","Chiapas",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",1.17860604748453,2.43088503720894,0.848030979875364
"167","Chiapas",2017,"All Ages","Both","Measles","measles","Deaths","Number",4.04933967963557e-05,0.000226047701495356,0
"168","Chiapas",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"169","Chiapas",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"170","Chiapas",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.0191186595648024,0.0260536424170509,0.0143780356947905
"171","Chiapas",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",151.827492020694,201.349323822342,107.886307862364
"172","Chiapas",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",369.66970617945,412.29034052047,301.05892546325
"173","Chiapas",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",25.1565994710353,55.0010608649356,7.88317714422417
"174","Chiapas",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",4041.34858098906,4275.50425175121,3795.79673530896
"175","Chiapas",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",5430.49210952134,5701.72732785829,5126.98154865043
"176","Chiapas",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",1219.81433761009,1296.6831346214,1147.64604575895
"177","Chiapas",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",87.8447976279687,98.6898659643999,77.433504753222
"178","Chiapas",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",2178.3270249914,2338.38922898281,2017.35020170085
"179","Chiapas",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",99.3989563597145,109.36360614513,90.4801530987703
"180","Chiapas",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",1046.78793814731,1116.97145332436,979.660797582001
"181","Chiapas",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",157.360068548162,169.243867290144,141.038618415831
"182","Chiapas",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",151.205852560332,166.097981931865,115.940762536485
"183","Chiapas",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",6.68742513890933,7.61849609324362,5.85319799741927
"184","Chiapas",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",37.9562620231015,44.549110938685,34.495640132718
"185","Chiapas",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",5.85587614026631,6.71842429557079,5.06279210076468
"186","Chiapas",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",2511.67891514488,2679.37177125095,2344.27517148913
"187","Chiapas",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",109.281493740271,119.233808540664,100.647036440122
"188","Chiapas",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",440.03760717892,579.619438332185,345.059034063721
"189","Chiapas",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",3823.2286189988,4018.22868180313,3640.16349275196
"190","Chihuahua",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",87.489259236571,97.5693711978159,77.7497284205332
"191","Chihuahua",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",136.829861407733,143.7949339095,130.55840825175
"192","Chihuahua",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",29.9864558792241,33.724733697436,24.3124024111073
"193","Chihuahua",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.134323774086413,0.745456877490063,0.0658695149745086
"194","Chihuahua",2017,"All Ages","Both","Measles","measles","Deaths","Number",1.59329072372216e-05,8.39442502495818e-05,0
"195","Chihuahua",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"196","Chihuahua",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"197","Chihuahua",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.0118134079417708,0.0150213532614187,0.00955403206846058
"198","Chihuahua",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",244.194627245052,302.105498481386,198.002761602783
"199","Chihuahua",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",133.176482832993,147.344804956548,120.877719334546
"200","Chihuahua",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",13.1525853862956,29.8497785986279,4.28145868119533
"201","Chihuahua",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",3282.73771510423,3469.01646198881,3090.96968673243
"202","Chihuahua",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",5617.81764425196,5914.92940899919,5319.27185401017
"203","Chihuahua",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",1004.49567231686,1073.8611770559,938.859938689155
"204","Chihuahua",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",43.8072840675113,49.747875062115,38.2457923479613
"205","Chihuahua",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",1024.71851941227,1111.62611496012,940.53260348076
"206","Chihuahua",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",99.8834231437415,111.347053799197,90.2963240587343
"207","Chihuahua",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",988.982511052702,1049.21638713814,931.132852751636
"208","Chihuahua",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",135.463464913304,160.347101550627,125.273573749433
"209","Chihuahua",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",65.2849389171949,71.6686802863673,59.732112588986
